"","wavenumber","intensity","sample_name","group"
"6288050",475.4,0.001,5189,5189
"6288258",476.5,0.001,5189,5189
"6288466",477.5,0.001,5189,5189
"6288674",478.5,0.001,5189,5189
"6288882",479.5,0.001,5189,5189
"6289090",480.6,0.001,5189,5189
"6289298",481.6,0.001,5189,5189
"6289506",482.6,0.002,5189,5189
"6289714",483.6,0.001,5189,5189
"6289922",484.7,0.001,5189,5189
"6290130",485.7,0.002,5189,5189
"6290338",486.7,0.001,5189,5189
"6290546",487.7,0.001,5189,5189
"6290754",488.8,0.001,5189,5189
"6290962",489.8,0.001,5189,5189
"6291170",490.8,0.001,5189,5189
"6291378",491.8,0.001,5189,5189
"6291586",492.9,0.002,5189,5189
"6291794",493.9,0.001,5189,5189
"6292002",494.9,0.001,5189,5189
"6292210",495.9,0.001,5189,5189
"6292418",497,0.002,5189,5189
"6292626",498,0.001,5189,5189
"6292834",499,0.001,5189,5189
"6293042",500,0.001,5189,5189
"6293250",501.1,0.001,5189,5189
"6293458",502.1,0.001,5189,5189
"6293666",503.1,0.001,5189,5189
"6293874",504.2,0.001,5189,5189
"6294082",505.2,0.001,5189,5189
"6294290",506.2,0.001,5189,5189
"6294498",507.2,0.001,5189,5189
"6294706",508.3,0.001,5189,5189
"6294914",509.3,0.001,5189,5189
"6295122",510.3,0.001,5189,5189
"6295330",511.3,0.001,5189,5189
"6295538",512.4,0.001,5189,5189
"6295746",513.4,0.001,5189,5189
"6295954",514.4,0.001,5189,5189
"6296162",515.4,0,5189,5189
"6296370",516.5,0.001,5189,5189
"6296578",517.5,0.001,5189,5189
"6296786",518.5,0.001,5189,5189
"6296994",519.5,0.001,5189,5189
"6297202",520.6,0.001,5189,5189
"6297410",521.6,0.001,5189,5189
"6297618",522.6,0.001,5189,5189
"6297826",523.6,0.001,5189,5189
"6298034",524.7,0.002,5189,5189
"6298242",525.7,0.002,5189,5189
"6298450",526.7,0.002,5189,5189
"6298658",527.7,0.001,5189,5189
"6298866",528.8,0.001,5189,5189
"6299074",529.8,0.001,5189,5189
"6299282",530.8,0.001,5189,5189
"6299490",531.9,0.001,5189,5189
"6299698",532.9,0.001,5189,5189
"6299906",533.9,0.001,5189,5189
"6300114",534.9,0.001,5189,5189
"6300322",536,0.001,5189,5189
"6300530",537,0.001,5189,5189
"6300738",538,0.001,5189,5189
"6300946",539,0.001,5189,5189
"6301154",540.1,0.001,5189,5189
"6301362",541.1,0.001,5189,5189
"6301570",542.1,0.001,5189,5189
"6301778",543.1,0.001,5189,5189
"6301986",544.2,0.001,5189,5189
"6302194",545.2,0.001,5189,5189
"6302402",546.2,0,5189,5189
"6302610",547.2,0,5189,5189
"6302818",548.3,0.001,5189,5189
"6303026",549.3,0.001,5189,5189
"6303234",550.3,0.001,5189,5189
"6303442",551.3,0.001,5189,5189
"6303650",552.4,0.001,5189,5189
"6303858",553.4,0.002,5189,5189
"6304066",554.4,0.002,5189,5189
"6304274",555.4,0.003,5189,5189
"6304482",556.5,0.002,5189,5189
"6304690",557.5,0.002,5189,5189
"6304898",558.5,0.001,5189,5189
"6305106",559.6,0.002,5189,5189
"6305314",560.6,0.002,5189,5189
"6305522",561.6,0.004,5189,5189
"6305730",562.6,0.004,5189,5189
"6305938",563.7,0.004,5189,5189
"6306146",564.7,0.005,5189,5189
"6306354",565.7,0.005,5189,5189
"6306562",566.7,0.005,5189,5189
"6306770",567.8,0.002,5189,5189
"6306978",568.8,0.003,5189,5189
"6307186",569.8,0.002,5189,5189
"6307394",570.8,0.003,5189,5189
"6307602",571.9,0.003,5189,5189
"6307810",572.9,0.001,5189,5189
"6308018",573.9,0.001,5189,5189
"6308226",574.9,0.001,5189,5189
"6308434",576,0.001,5189,5189
"6308642",577,0,5189,5189
"6308850",578,0,5189,5189
"6309058",579,0.001,5189,5189
"6309266",580.1,0.002,5189,5189
"6309474",581.1,0.002,5189,5189
"6309682",582.1,0.002,5189,5189
"6309890",583.1,0.002,5189,5189
"6310098",584.2,0.004,5189,5189
"6310306",585.2,0.004,5189,5189
"6310514",586.2,0.001,5189,5189
"6310722",587.2,0,5189,5189
"6310930",588.3,0,5189,5189
"6311138",589.3,0.001,5189,5189
"6311346",590.3,0.003,5189,5189
"6311554",591.4,0.002,5189,5189
"6311762",592.4,0.005,5189,5189
"6311970",593.4,0.004,5189,5189
"6312178",594.4,0.004,5189,5189
"6312386",595.5,0.003,5189,5189
"6312594",596.5,0.003,5189,5189
"6312802",597.5,0.003,5189,5189
"6313010",598.5,0.005,5189,5189
"6313218",599.6,0.003,5189,5189
"6313426",600.6,0.001,5189,5189
"6313634",601.6,0.002,5189,5189
"6313842",602.6,0.002,5189,5189
"6314050",603.7,0.002,5189,5189
"6314258",604.7,0.001,5189,5189
"6314466",605.7,0.001,5189,5189
"6314674",606.7,0,5189,5189
"6314882",607.8,0.001,5189,5189
"6315090",608.8,0.004,5189,5189
"6315298",609.8,0.005,5189,5189
"6315506",610.8,0.005,5189,5189
"6315714",611.9,0.005,5189,5189
"6315922",612.9,0.005,5189,5189
"6316130",613.9,0.003,5189,5189
"6316338",614.9,0.004,5189,5189
"6316546",616,0.003,5189,5189
"6316754",617,0.002,5189,5189
"6316962",618,0.003,5189,5189
"6317170",619.1,0.003,5189,5189
"6317378",620.1,0.006,5189,5189
"6317586",621.1,0.005,5189,5189
"6317794",622.1,0.003,5189,5189
"6318002",623.2,0.004,5189,5189
"6318210",624.2,0.003,5189,5189
"6318418",625.2,0.002,5189,5189
"6318626",626.2,0.002,5189,5189
"6318834",627.3,0.002,5189,5189
"6319042",628.3,0,5189,5189
"6319250",629.3,0.001,5189,5189
"6319458",630.3,0.001,5189,5189
"6319666",631.4,0.001,5189,5189
"6319874",632.4,0.001,5189,5189
"6320082",633.4,0.001,5189,5189
"6320290",634.4,0.001,5189,5189
"6320498",635.5,0,5189,5189
"6320706",636.5,0,5189,5189
"6320914",637.5,0.001,5189,5189
"6321122",638.5,0.002,5189,5189
"6321330",639.6,0.002,5189,5189
"6321538",640.6,0.003,5189,5189
"6321746",641.6,0.005,5189,5189
"6321954",642.6,0.003,5189,5189
"6322162",643.7,0.003,5189,5189
"6322370",644.7,0.003,5189,5189
"6322578",645.7,0.003,5189,5189
"6322786",646.8,0.004,5189,5189
"6322994",647.8,0.006,5189,5189
"6323202",648.8,0.002,5189,5189
"6323410",649.8,0.005,5189,5189
"6323618",650.9,0.005,5189,5189
"6323826",651.9,0.002,5189,5189
"6324034",652.9,0.002,5189,5189
"6324242",653.9,0,5189,5189
"6324450",655,0,5189,5189
"6324658",656,0.001,5189,5189
"6324866",657,0.004,5189,5189
"6325074",658,0.002,5189,5189
"6325282",659.1,0.002,5189,5189
"6325490",660.1,0.002,5189,5189
"6325698",661.1,0.001,5189,5189
"6325906",662.1,0.003,5189,5189
"6326114",663.2,0.003,5189,5189
"6326322",664.2,0.001,5189,5189
"6326530",665.2,0,5189,5189
"6326738",666.2,0.001,5189,5189
"6326946",667.3,0.001,5189,5189
"6327154",668.3,0.001,5189,5189
"6327362",669.3,0.001,5189,5189
"6327570",670.3,0.001,5189,5189
"6327778",671.4,0.001,5189,5189
"6327986",672.4,0.003,5189,5189
"6328194",673.4,0.001,5189,5189
"6328402",674.5,0,5189,5189
"6328610",675.5,0.003,5189,5189
"6328818",676.5,0.004,5189,5189
"6329026",677.5,0.004,5189,5189
"6329234",678.6,0.005,5189,5189
"6329442",679.6,0.005,5189,5189
"6329650",680.6,0.005,5189,5189
"6329858",681.6,0.005,5189,5189
"6330066",682.7,0.003,5189,5189
"6330274",683.7,0.002,5189,5189
"6330482",684.7,0,5189,5189
"6330690",685.7,0,5189,5189
"6330898",686.8,0,5189,5189
"6331106",687.8,0,5189,5189
"6331314",688.8,0,5189,5189
"6331522",689.8,0,5189,5189
"6331730",690.9,0,5189,5189
"6331938",691.9,0,5189,5189
"6332146",692.9,0.001,5189,5189
"6332354",693.9,0.002,5189,5189
"6332562",695,0.003,5189,5189
"6332770",696,0.003,5189,5189
"6332978",697,0.003,5189,5189
"6333186",698,0.002,5189,5189
"6333394",699.1,0.002,5189,5189
"6333602",700.1,0.002,5189,5189
"6333810",701.1,0.002,5189,5189
"6334018",702.1,0.002,5189,5189
"6334226",703.2,0.001,5189,5189
"6334434",704.2,0.001,5189,5189
"6334642",705.2,0.002,5189,5189
"6334850",706.3,0.001,5189,5189
"6335058",707.3,0.001,5189,5189
"6335266",708.3,0.001,5189,5189
"6335474",709.3,0.001,5189,5189
"6335682",710.4,0.001,5189,5189
"6335890",711.4,0.001,5189,5189
